sample_id,scenario,mechanism,metric,value
ConfirmationBias__Rag,ConfirmationBias,Rag,bias_amplitude_pct,44.829
ConfirmationBias__Rag,ConfirmationBias,Rag,bias_persistence,180
ConfirmationBias__Rag,ConfirmationBias,Rag,correction_ratio,0.6281
ConfirmationBias__Rag,ConfirmationBias,Rag,return_autocorr_lag1,-0.4709
CreditCycle__Rule,CreditCycle,Rule,counter_cyclical_offset_ratio,0.0
CreditCycle__Rule,CreditCycle,Rule,credit_contraction_speed,2.09
CreditCycle__Rule,CreditCycle,Rule,leverage_amplitude_index,65231.1961
CreditCycle__Rule,CreditCycle,Rule,max_drawdown_pct,79.4191
CreditCycle__Rule,CreditCycle,Rule,minsky_fragility_score,0.0
CreditCycle__Rule,CreditCycle,Rule,peak_deviation_pct,400.0099
CreditCycle__Rule,CreditCycle,Rule,peak_rolling_vol_pct,44.8154
CreditCycle__Rule,CreditCycle,Rule,phase_duration_ratio,inf
CreditCycle__Rule,CreditCycle,Rule,return_autocorr_lag1,0.4652
CreditCycle__Rule,CreditCycle,Rule,trough_deviation_pct,-0.0061
CreditCycle__LLM,CreditCycle,LLM,counter_cyclical_offset_ratio,0.0
CreditCycle__LLM,CreditCycle,LLM,credit_contraction_speed,2.1778
CreditCycle__LLM,CreditCycle,LLM,leverage_amplitude_index,27.2758
CreditCycle__LLM,CreditCycle,LLM,max_drawdown_pct,82.4509
CreditCycle__LLM,CreditCycle,LLM,minsky_fragility_score,0.0
CreditCycle__LLM,CreditCycle,LLM,peak_deviation_pct,388.6375
CreditCycle__LLM,CreditCycle,LLM,peak_rolling_vol_pct,57.8792
CreditCycle__LLM,CreditCycle,LLM,phase_duration_ratio,98.5
CreditCycle__LLM,CreditCycle,LLM,return_autocorr_lag1,-0.432
CreditCycle__LLM,CreditCycle,LLM,trough_deviation_pct,-14.2484
CreditCycle__RuleLLM,CreditCycle,RuleLLM,counter_cyclical_offset_ratio,0.0
CreditCycle__RuleLLM,CreditCycle,RuleLLM,credit_contraction_speed,1.8389
CreditCycle__RuleLLM,CreditCycle,RuleLLM,leverage_amplitude_index,220339.9517
CreditCycle__RuleLLM,CreditCycle,RuleLLM,max_drawdown_pct,76.6123
CreditCycle__RuleLLM,CreditCycle,RuleLLM,minsky_fragility_score,0.0
CreditCycle__RuleLLM,CreditCycle,RuleLLM,peak_deviation_pct,356.0387
CreditCycle__RuleLLM,CreditCycle,RuleLLM,peak_rolling_vol_pct,22.2215
CreditCycle__RuleLLM,CreditCycle,RuleLLM,phase_duration_ratio,inf
CreditCycle__RuleLLM,CreditCycle,RuleLLM,return_autocorr_lag1,0.7241
CreditCycle__RuleLLM,CreditCycle,RuleLLM,trough_deviation_pct,-0.0016
