sample_id,scenario,mechanism,duration_seconds,started_at,ended_at,rounds,source_run,runner,config
EquityPremium__RuleLLM,EquityPremium,RuleLLM,5130.401,2026-05-23T01:12:04,2026-05-23T02:37:34,configured_full,samples/EquityPremium/RuleLLM,examples/EquityPremium/RuleLLM/run_equity_premium_rulellm.py,samples/EquityPremium/RuleLLM/config/simulation.yml
EquityPremium__Rag,EquityPremium,Rag,8700.65,2026-05-22T15:48:27,2026-05-22T18:13:28,configured_full,samples/EquityPremium/Rag,examples/EquityPremium/Rag/run_equity_premium_ragllm.py,samples/EquityPremium/Rag/config/simulation.yml
EuropeanDebtCrisis__Rule,EuropeanDebtCrisis,Rule,40.003,2026-05-22T03:52:22,2026-05-22T03:53:02,configured_full,samples/EuropeanDebtCrisis/Rule,examples/EuropeanDebtCrisis/Rule/run_europeandebtcrisis.py,samples/EuropeanDebtCrisis/Rule/config/simulation.yml
EuropeanDebtCrisis__LLM,EuropeanDebtCrisis,LLM,6260.435,2026-05-23T18:20:17,2026-05-23T20:04:37,configured_full,samples/EuropeanDebtCrisis/LLM,examples/EuropeanDebtCrisis/LLM/run_europeandebtcrisis_llm.py,samples/EuropeanDebtCrisis/LLM/config/simulation.yml
EuropeanDebtCrisis__RuleLLM,EuropeanDebtCrisis,RuleLLM,5770.429,2026-05-23T16:18:57,2026-05-23T17:55:07,configured_full,samples/EuropeanDebtCrisis/RuleLLM,examples/EuropeanDebtCrisis/RuleLLM/run_europeandebtcrisis_rulellm.py,samples/EuropeanDebtCrisis/RuleLLM/config/simulation.yml
EuropeanDebtCrisis__Rag,EuropeanDebtCrisis,Rag,7920.542,2026-05-22T18:13:28,2026-05-22T20:25:28,configured_full,samples/EuropeanDebtCrisis/Rag,examples/EuropeanDebtCrisis/Rag/run_europeandebtcrisis_rag.py,samples/EuropeanDebtCrisis/Rag/config/simulation.yml
FlashCrash__Rule,FlashCrash,Rule,60.004,2026-05-22T03:53:02,2026-05-22T03:54:02,configured_full,samples/FlashCrash/Rule,examples/FlashCrash/Rule/run_flash_crash.py,samples/FlashCrash/Rule/config/simulation.yml
FlashCrash__LLM,FlashCrash,LLM,5680.374,2026-05-22T18:49:52,2026-05-22T20:24:33,configured_full,samples/FlashCrash/LLM,examples/FlashCrash/LLM/run_flash_crash_llm.py,samples/FlashCrash/LLM/config/simulation.yml
FlashCrash__RuleLLM,FlashCrash,RuleLLM,25262.048,2026-05-23T19:26:38,2026-05-24T02:27:40,configured_full,samples/FlashCrash/RuleLLM,examples/FlashCrash/RuleLLM/run_flash_crash_rulellm.py,samples/FlashCrash/RuleLLM/config/simulation.yml
FlashCrash__Rag,FlashCrash,Rag,7570.676,2026-05-23T16:22:13,2026-05-23T18:28:24,configured_full,samples/FlashCrash/Rag,examples/FlashCrash/Rag/run_flash_crash_ragllm.py,samples/FlashCrash/Rag/config/simulation.yml
FlashCrash2010__Rule,FlashCrash2010,Rule,60.004,2026-05-22T03:54:02,2026-05-22T03:55:02,configured_full,samples/FlashCrash2010/Rule,examples/FlashCrash2010/Rule/run_flashcrash2010.py,samples/FlashCrash2010/Rule/config/simulation.yml
FlashCrash2010__LLM,FlashCrash2010,LLM,5470.454,2026-05-23T17:55:17,2026-05-23T19:26:28,configured_full,samples/FlashCrash2010/LLM,examples/FlashCrash2010/LLM/run_flashcrash2010_llm.py,samples/FlashCrash2010/LLM/config/simulation.yml
FlashCrash2010__RuleLLM,FlashCrash2010,RuleLLM,5810.477,2026-05-23T01:16:21,2026-05-23T02:53:12,configured_full,samples/FlashCrash2010/RuleLLM,examples/FlashCrash2010/RuleLLM/run_flashcrash2010_rulellm.py,samples/FlashCrash2010/RuleLLM/config/simulation.yml
FlashCrash2010__Rag,FlashCrash2010,Rag,7720.598,2026-05-23T19:19:25,2026-05-23T21:28:06,configured_full,samples/FlashCrash2010/Rag,examples/FlashCrash2010/Rag/run_flashcrash2010_rag.py,samples/FlashCrash2010/Rag/config/simulation.yml
FramingEffect__Rule,FramingEffect,Rule,40.012,2026-05-22T03:43:06,2026-05-22T03:43:46,configured_full,samples/FramingEffect/Rule,examples/FramingEffect/Rule/run_framingeffect.py,samples/FramingEffect/Rule/config/simulation.yml
FramingEffect__LLM,FramingEffect,LLM,3411.184,2026-05-22T04:43:21,2026-05-22T05:40:12,configured_full,samples/FramingEffect/LLM,examples/FramingEffect/LLM/run_framingeffect_llm.py,samples/FramingEffect/LLM/config/simulation.yml
FramingEffect__RuleLLM,FramingEffect,RuleLLM,1600.622,2026-05-23T01:16:10,2026-05-23T01:42:50,configured_full,samples/FramingEffect/RuleLLM,examples/FramingEffect/RuleLLM/run_framingeffect_rulellm.py,samples/FramingEffect/RuleLLM/config/simulation.yml
FramingEffect__Rag,FramingEffect,Rag,4001.167,2026-05-22T05:03:28,2026-05-22T06:10:09,configured_full,samples/FramingEffect/Rag,examples/FramingEffect/Rag/run_framingeffect_rag.py,samples/FramingEffect/Rag/config/simulation.yml
GFC2008__Rule,GFC2008,Rule,40.012,2026-05-22T03:43:46,2026-05-22T03:44:26,configured_full,samples/GFC2008/Rule,examples/GFC2008/Rule/run_gfc2008.py,samples/GFC2008/Rule/config/simulation.yml
GFC2008__LLM,GFC2008,LLM,4331.555,2026-05-22T05:40:12,2026-05-22T06:52:24,configured_full,samples/GFC2008/LLM,examples/GFC2008/LLM/run_gfc2008_llm.py,samples/GFC2008/LLM/config/simulation.yml
GFC2008__RuleLLM,GFC2008,RuleLLM,4661.767,2026-05-22T05:34:45,2026-05-22T06:52:27,configured_full,samples/GFC2008/RuleLLM,examples/GFC2008/RuleLLM/run_gfc2008_rulellm.py,samples/GFC2008/RuleLLM/config/simulation.yml
GFC2008__Rag,GFC2008,Rag,5542.079,2026-05-22T06:10:09,2026-05-22T07:42:31,configured_full,samples/GFC2008/Rag,examples/GFC2008/Rag/run_gfc2008_rag.py,samples/GFC2008/Rag/config/simulation.yml
